00. - 102,COMPUTATION 1,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,1,,,,603539
A-E - 270,INTRO TO ART EDUCATION,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
A-E - 272,WORKSHOP IN DESIGN EDUCATION,2,ART - EL-L,ELEC-ART,2,,,,603923
A-H - 100,INTRO ART HISTORY,3,ART - 100,ART APPRECIATION,3,,B2,AH,603923
A-H - 105,ANCIENT THROUGH MEDIEVAL ART,3,ART - 105,ART SURVEY,3,,B2,AH,603923
A-H - 106,RENAISSANCE THRU MODERN ART,3,ART - 106,ART SURVEY,3,,B2,AH,603923
A-S - 102,VISUAL EXPLORATION I,3,ART - 140,DRAWING,3,,,,603923
A-S - 103,VISUAL EXPLORATION II,4,ART - 131,THREE DIMENSIONAL DESIGN,4,,,,603923
A-S - 180,ART STUDIO I,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
A-S - 200,STUDIO I,3,ART - 130,DESIGN,3,,,,603923
A-S - 215,STUDIO II,3,ART - EL-L,ELEC-ART,3,,,,603923
A-S - 255,STUDIO III,3,ART - 270,SCULPTURE,3,,,,603923
A&S - 100,SP INTR CRS:LEAD,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,,,,,603923
A&S - 300,SPEC COURSE ITIQ VISLAB,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,1,,,,603923
AAD - 100,INTRO TO ARTS ADMINISTRATION,3,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3,,,,603923
AAD - 200,FUND OF ARTS ADMINISTRATION,3,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3,,,,603923
AAD - 201,INTRO TO ARTS ADMINISTRATION,3,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3,,,,603923
ABAC - 1000,AG SCIENCES FRESHMAN SEMINAR,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,1,,,,600001
ABR - 100,INTRO TO AUTO BODY REPAIR,3,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,,,,,603923
ABR - 105,INTRODUCTION TO AUT,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 115,NON-STRUCTURAL ANAL,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 116,N-STRUC ANALYSIS &,3.33,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3.33,,,,603923
ABR - 117,N-STRUC ANALYSIS &,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 120,AUTO BODY REPAIR II,12,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,,,,,603923
ABR - 125,STRUCTURAL ANALYSIS,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 126,STRUCT ANALYSIS & D,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 127,STRUCT. ANALYSIS &,3.33,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3.33,,,,603923
ABR - 130,NON-STRUC DAMAGE REPAIR,9,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,9,,,,603923
ABR - 131,NON-STRUCT DAMAGE REP LAB,4,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,4,,,,603923
ABR - 150,PAINTING AND REFINISHING,9,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,9,,,,603923
ABR - 151,PAINT AND REFINISHING LAB,4,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,4,,,,603923
ABR - 198,PRACTICUM,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,,,,,603923
ABR - 199,COOPERATIVE EDUCATION,1,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,,,,,603923
ABR - 200,PLASTICS AND ADHESIVES,3,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3,,,,603923
ABR - 205,MECHANICAL & ELECTR,2,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,2,,,,603923
ABR - 206,MECHAN. & ELECTR. C,3.33,TRAN - EL-L,ELEC-TRANSFER ELECTIVE,3.33,,,,603923
